,accuracy,loss,recall,val_accuracy,val_loss,val_recall
0,0.6391838192939758,1.3104850053787231,0.48807933926582336,0.7151128053665161,0.6489560008049011,0.43608415126800537
1,0.5705747604370117,1.2932430505752563,0.616250216960907,0.5572986602783203,0.679360568523407,0.6351132392883301
2,0.5366484522819519,1.28850257396698,0.6513446569442749,0.41162407398223877,0.7200389504432678,0.8122977614402771
3,0.534183144569397,1.2810313701629639,0.6698455214500427,0.7520543932914734,0.4905819296836853,0.38754045963287354
4,0.533650815486908,1.2774853706359863,0.668510377407074,0.07892574369907379,0.8818565011024475,0.9943365454673767
5,0.5236307382583618,1.2729511260986328,0.6831966638565063,0.5346257090568542,0.6704782247543335,0.6731391549110413
6,0.5152542591094971,1.2681634426116943,0.7024604082107544,0.6673016548156738,0.5400978922843933,0.5210356116294861
7,0.5145912170410156,1.2648320198059082,0.7003623843193054,0.3940310776233673,0.7714828252792358,0.8576051592826843
8,0.5217724442481995,1.2603068351745605,0.7047491669654846,0.2758479118347168,0.7747939825057983,0.9393203854560852
9,0.535210371017456,1.258732557296753,0.690062940120697,0.3634767532348633,0.755997896194458,0.8923948407173157
